accelX,accelY,accelZ,label
0.869,0.667,-0.691,0
0.855,0.659,-0.69,0
0.821,0.795,-0.676,0
0.634,0.722,-0.738,0
0.623,0.629,-0.748,0
0.75,0.661,-0.608,0
0.788,0.66,-0.498,0
0.903,0.629,-0.372,0
0.92,0.575,-0.144,0
0.846,0.446,0.217,0
0.752,0.404,0.577,0
0.461,0.275,1.373,0
0.107,0.135,1.93,0
-0.314,-0.015,2.164,0
-0.3,-0.008,1.914,0
-0.055,0.19,1.376,0
0.099,0.238,1.222,0
0.313,0.216,1.25,0
0.336,0.237,1.716,0
0.466,0.229,2.343,0
0.411,0.262,2.52,0
-0.377,0.731,2.019,1
-0.693,1.07,0.852,0
-0.946,1.284,-1.333,0
-0.681,1.33,-2.247,0
-0.367,1.671,-2.655,0
-0.102,1.654,-1.943,0
0.42,0.907,0.284,0
0.675,0.178,1.757,0
0.911,-0.923,4.139,0
0.496,-1.388,6.018,0
-0.2,-1.804,7.749,0
-0.54,-1.853,7.402,0
-0.671,-1.595,4.113,0
-0.57,-1.282,1.575,0
-0.387,-0.879,-1.075,0
-0.315,-0.727,-2.327,0
-0.247,-0.658,-3.217,0
-0.051,-0.641,-3.486,0
0.069,-0.88,-2.612,0
0.196,-1,-1.695,0
0.333,-1.058,-0.777,0
0.242,-1.178,-0.717,0
0.02,-1.305,-1.298,0
0,-1.275,-1.792,0
-0.077,-1.105,-2.253,0
-0.052,-0.988,-2.512,0
0.008,-0.806,-2.819,0
0.106,-0.62,-2.959,0
0.236,-0.383,-2.829,0
0.341,-0.248,-2.648,0
0.555,0.059,-2.227,0
0.515,0.218,-1.827,0
0.384,0.265,-1.587,0
0.162,0.261,-1.517,0
-0.281,0.036,-1.322,0
-0.408,-0.024,-1.482,0
-0.488,0.04,-1.665,0
-0.455,0.054,-1.574,0
-0.116,0.237,-1.289,0
0.053,0.371,-0.934,0
0.151,0.395,-0.396,0
0.084,0.432,-0.041,0
0.068,0.452,-0.048,0
-0.493,0.201,0.925,0
-0.935,0.068,1.454,0
-0.935,0.18,1.98,0
-0.619,0.287,2.309,0
-0.625,0.283,1.995,0
-0.523,0.301,1.442,0
-0.285,0.33,1.521,0
0.113,0.398,2,0
0.184,0.431,2.468,0
0.157,0.675,2.713,0
-0.087,1.178,2.418,1
-0.102,1.133,2.431,0
0.19,1.508,0.323,0
0.715,1.463,-0.772,0
0.894,1.386,-0.752,0
0.576,0.951,0.873,0
-0.057,0.526,2.495,0
-0.675,-0.09,3.472,0
-0.587,-0.447,3.316,0
-0.15,-0.593,2.702,0
0.204,-0.608,2.445,0
0.37,-0.546,2.454,0
0.309,-0.587,2.444,0
0.176,-0.778,1.945,0
0.056,-0.829,1.276,0
-0.048,-0.85,0.405,0
0.138,-0.849,-0.128,0
0.466,-0.835,-0.424,0
0.584,-0.861,-0.283,0
0.599,-0.842,-0.288,0
0.422,-0.941,-0.168,0
-0.217,-1.061,-0.306,0
-0.452,-1.131,-0.533,0
-0.544,-0.949,-1.331,0
-0.343,-0.611,-2.092,0
0.197,-0.102,-2.841,0
0.582,0.27,-3.047,0
0.787,0.693,-2.862,0
0.887,0.782,-2.692,0
0.767,0.702,-2.352,0
0.49,0.626,-2.12,0
-0.024,0.457,-1.759,0
-0.233,0.368,-1.534,0
-0.222,0.425,-1.48,0
0.001,0.553,-1.664,0
0.371,0.757,-1.813,0
0.645,0.85,-1.711,0
0.951,0.98,-1.262,0
0.98,0.924,-0.934,0
0.776,0.678,-0.45,0
0.669,0.487,-0.065,0
0.271,0.176,0.586,0
0.064,-0.162,1.085,0
-0.23,-0.365,1.615,0
-0.283,-0.26,1.42,0
-0.176,-0.085,0.783,0
-0.127,0.001,0.273,0
0.113,0.341,-0.327,0
0.092,0.305,-0.236,0
0.11,0.275,-0.225,0
0.413,0.127,1.836,0
0.402,0.077,3.325,0
0.273,-0.104,4.47,0
-0.279,0.156,4.761,0
-0.725,0.49,3.239,0
-0.704,0.712,0.587,1
-0.349,0.715,-0.722,0
0.517,1.137,-1.706,0
0.939,1.308,-1.5,0
0.754,0.953,-0.032,0
0.409,0.288,1.333,0
0.095,-0.806,2.673,0
-0.151,-1.171,3.296,0
-0.474,-1.242,3.694,0
-0.576,-1.109,3.078,0
-0.397,-0.662,0.731,0
-0.261,-0.38,-0.488,0
-0.498,-0.29,-1.665,0
-0.732,-0.398,-1.837,0
-1.115,-0.438,-1.721,0
-1.335,-0.546,-1.371,0
-1.268,-0.869,-0.503,0
-0.791,-0.856,0.216,0
0.022,-0.706,0.757,0
0.277,-0.698,0.905,0
0.533,-0.712,0.539,0
0.468,-0.67,-0.058,0
0.304,-0.607,-1.282,0
0.247,-0.614,-1.902,0
0.195,-0.606,-2.702,0
0.036,-0.665,-3.015,0
-0.212,-0.693,-2.862,0
-0.182,-0.616,-2.402,0
0.11,-0.235,-1.652,0
0.143,0.011,-1.482,0
0.095,0.241,-1.696,0
0,0.296,-2.008,0
-0.192,0.362,-2.558,0
-0.477,0.318,-2.742,0
-0.513,0.228,-2.47,0
-0.646,0.127,-1.891,0
-0.794,0.116,-0.982,0
-0.819,0.096,-0.571,0
-0.828,0.121,0.144,0
-0.591,0.333,0.366,0
-0.353,0.512,0.559,0
-0.325,0.595,0.854,0
-0.327,0.595,1.283,0
-0.358,0.565,1.303,0
-0.661,0.436,1.383,0
-0.774,0.326,1.566,0
-0.882,0.119,1.936,0
-0.918,0.016,2.27,0
-0.626,0.028,2.668,0
-0.63,0.017,2.671,0
0.076,0.504,3.71,0
-0.188,0.748,2.802,0
-1.184,1.084,1.375,1
-1.214,0.835,0.455,0
-0.545,0.694,-0.486,0
-0.263,0.839,-0.41,0
0.604,0.902,0.6,0
0.654,0.732,1.458,0
-0.014,0.722,2.428,0
-0.338,0.352,2.457,0
-0.28,-0.076,1.677,0
-0.193,-0.191,1.263,0
0.064,-0.279,0.982,0
0.19,-0.298,1.092,0
0.067,-0.353,1.397,0
-0.017,-0.458,1.263,0
0.058,-0.494,0.652,0
0.149,-0.517,0.226,0
0.192,-0.735,-0.095,0
0.291,-0.78,0.038,0
0.438,-0.769,0.382,0
0.441,-0.81,0.388,0
0.35,-0.782,-0.002,0
0.374,-0.763,-0.361,0
0.252,-0.777,-1.091,0
0.058,-0.766,-1.507,0
-0.243,-0.898,-2.011,0
-0.197,-0.844,-2.551,0
0.103,-0.629,-3.112,0
0.295,-0.381,-3.007,0
0.592,-0.047,-2.508,0
0.602,0.162,-2.187,0
0.526,0.392,-1.981,0
0.404,0.463,-1.897,0
0.087,0.374,-1.921,0
-0.131,0.303,-2.036,0
-0.428,0.246,-1.921,0
-0.362,0.264,-1.599,0
-0.151,0.326,-1.318,0
-0.14,0.347,-1.193,0
-0.115,0.278,-1.092,0
