accelX,accelY,accelZ,label
0.448,-0.178,1.834,1
0.288,-0.069,2.013,1
0.224,0.346,1.994,1
0.099,0.896,1.376,1
0.131,1.302,-0.348,1
0.505,1.342,-1.303,1
0.944,1.099,-1.953,1
0.868,0.432,-1.136,1
0.422,-0.665,1.211,1
-0.13,-1.391,3.245,1
-0.432,-1.849,4.283,1
-0.522,-1.961,4.137,1
-0.277,-1.729,2.488,1
-0.007,-1.386,1.112,1
0.35,-0.971,0.123,1
0.527,-0.754,-0.72,1
0.605,-0.57,-1.605,1
0.424,-0.641,-1.824,1
0.205,-0.757,-1.839,1
0.09,-0.83,-1.668,1
0.124,-0.794,-1.205,0
0.207,-0.679,-0.991,0
0.272,-0.478,-1.41,0
0.298,-0.269,-2.004,0
0.261,0.007,-2.534,0
0.336,0.24,-2.827,0
0.599,0.623,-3.209,0
0.497,0.784,-2.986,0
0.194,0.734,-2.59,0
-0.069,0.626,-2.147,0
-0.359,0.442,-1.478,0
-0.56,0.308,-1.07,0
-0.582,0.231,-0.813,0
-0.469,0.261,-0.539,0
-0.197,0.342,-0.308,0
0.035,0.454,-0.487,0
0.561,0.73,-0.291,0
0.808,0.792,-0.114,0
0.782,0.682,-0.149,0
0.635,0.522,-0.136,0
0.305,0.3,0.285,0
0.116,0.155,0.53,0
-0.079,0.121,0.53,0
-0.1,0.165,0.256,0
-0.076,0.319,0.144,0
0.031,0.434,0.477,0
0.084,0.492,0.853,0
0.184,0.543,1.058,0
0.339,0.513,1.584,0
0.313,0.474,2.253,0
0.341,0.567,2.805,0
0.304,0.453,2.608,1
0.169,0.348,2.049,1
0.014,0.491,1.625,1
-0.229,0.677,1.234,1
-0.298,0.849,0.786,1
-0.3,0.837,0.79,1
-0.295,1.027,0.408,1
-0.309,1.041,0.404,1
0.789,0.317,1.732,1
0.891,-0.67,3.573,1
0.568,-1.256,4.756,1
0.129,-1.632,4.873,1
-0.115,-1.444,2.993,1
-0.128,-1.024,0.743,1
-0.182,-0.747,-1.009,1
-0.189,-0.251,-2.694,1
-0.118,-0.007,-3.184,1
-0.25,0.108,-2.441,1
-0.262,0.053,-1.297,1
-0.09,-0.139,-0.308,1
-0.066,-0.333,-0.062,1
-0.142,-0.653,0.26,0
-0.284,-0.981,0.317,0
-0.218,-1.021,-0.056,0
-0.076,-0.981,-0.49,0
0.157,-0.696,-0.951,0
0.366,-0.388,-1.449,0
0.481,-0.026,-1.999,0
0.401,0.138,-2.269,0
0.241,0.242,-2.333,0
0.041,0.264,-1.99,0
-0.053,0.202,-1.522,0
-0.171,0.197,-0.808,0
-0.288,0.127,-0.607,0
-0.329,0.184,-0.938,0
-0.302,0.331,-1.392,0
-0.159,0.518,-1.589,0
0.097,0.756,-1.581,0
0.176,0.841,-1.364,0
0.231,0.768,-0.972,0
0.028,0.525,-0.268,0
0.031,0.526,-0.268,0
-0.107,0.117,0.848,0
-0.17,0.039,1.255,0
-0.259,-0.047,1.352,0
-0.324,0.034,1.004,0
-0.302,0.154,0.602,0
-0.292,0.121,0.611,0
0.272,0.483,0.65,0
0.505,0.564,0.903,0
0.471,0.57,0.943,0
0.497,0.554,1.01,0
0.372,0.508,0.964,0
-0.041,0.497,0.876,0
-0.131,0.247,0.529,0
0.023,-0.102,0.547,0
0.004,-0.272,1.439,1
-0.147,-0.373,2.29,1
-0.424,-0.339,2.354,1
-0.589,0.124,1.754,1
-0.553,0.488,1.02,1
-0.293,0.663,0.23,1
0.008,0.511,0.035,1
0.352,0.145,0.336,1
0.545,-0.357,1.199,1
0.433,-0.787,2.163,1
0.311,-1.025,2.666,1
0.186,-1.101,2.604,1
0.158,-1.055,1.754,1
0.153,-0.99,0.874,1
0.31,-0.906,0.468,1
0.431,-0.777,0.17,1
0.544,-0.722,-0.135,1
0.684,-0.596,-0.667,1
0.858,-0.525,-1.18,1
0.772,-0.601,-1.279,1
0.713,-0.646,-1.199,1
0.658,-0.612,-1.124,0
