accelX,accelY,accelZ,label
0.635,-0.852,0.487,0
0.8,-0.704,0.393,0
0.847,-0.531,0.046,0
0.857,-0.534,0.048,0
0.681,-0.354,-0.766,0
0.646,-0.266,-1.103,0
0.665,-0.271,-1.101,0
0.58,-0.069,-1.584,0
0.534,0.011,-1.432,0
0.511,0.04,-1.169,0
0.499,0.085,-0.842,0
0.569,0.19,-0.755,0
0.753,0.352,-0.787,0
0.859,0.409,-0.878,0
0.823,0.47,-0.992,0
0.794,0.466,-0.953,0
0.717,0.501,-0.784,0
0.612,0.49,-0.639,0
0.489,0.471,-0.537,0
0.447,0.473,-0.443,0
0.466,0.531,-0.343,0
0.458,0.572,-0.403,0
0.428,0.603,-0.345,0
0.361,0.614,-0.217,0
0.279,0.654,-0.142,0
0.262,0.701,-0.166,0
0.323,0.752,-0.28,0
0.394,0.825,-0.25,0
0.457,0.931,-0.088,0
0.403,0.893,-0.106,0
0.213,0.739,-0.03,0
0.164,0.682,-0.032,0
0.235,0.684,-0.072,0
0.222,0.71,-0.075,0
0.245,0.662,-0.108,0
0.236,0.643,-0.132,1
0.228,0.658,-0.046,1
0.246,0.642,0.069,1
0.199,0.633,0.172,1
0.155,0.578,0.163,1
0.288,0.565,0.092,1
0.465,0.612,0.151,1
0.568,0.558,0.445,1
0.566,0.534,0.748,1
0.193,0.746,0.812,1
-0.041,0.858,0.469,1
-0.192,0.825,-0.326,1
-0.13,0.895,-0.807,1
0.226,1.23,-1.228,1
0.509,1.323,-1.396,1
0.937,1.13,-1.043,1
1.004,0.922,-0.054,1
0.876,0.577,1.567,1
0.702,0.19,2.742,1
0.24,-0.371,4.132,1
0.002,-0.718,4.787,1
-0.098,-1.098,4.869,0
-0.013,-1.228,4.302,0
0.124,-1.289,3.041,0
0.291,-1.274,2.105,0
0.367,-1.18,1.066,0
0.244,-1.101,0.374,0
0.086,-0.96,-0.285,0
0.125,-0.869,-0.556,0
0.269,-0.715,-1.116,0
0.363,-0.627,-1.459,0
0.449,-0.617,-1.758,0
0.491,-0.666,-1.8,0
0.479,-0.679,-1.797,0
0.405,-0.805,-1.564,0
0.219,-1.181,-0.534,0
0.179,-1.218,0.031,0
0.248,-1.166,0.38,0
0.307,-1.057,0.236,0
0.404,-0.971,-0.297,0
0.421,-0.857,-0.787,0
0.459,-0.682,-1.198,0
0.533,-0.574,-1.297,0
0.436,-0.495,-1.143,0
0.326,-0.476,-0.935,0
0.142,-0.553,-0.536,0
0.056,-0.572,-0.341,0
0.013,-0.491,-0.346,0
0.137,-0.404,-0.305,0
0.304,-0.219,-0.378,0
0.442,-0.066,-0.556,0
0.438,-0.059,-0.558,0
0.723,0.238,-0.898,0
0.653,0.257,-0.756,0
0.553,0.273,-0.585,0
0.548,0.289,-0.591,0
0.292,0.177,0.23,0
0.373,0.302,0.337,0
0.527,0.446,0.184,0
0.652,0.589,-0.048,0
0.658,0.698,-0.336,0
0.528,0.776,-0.784,0
0.549,0.841,-1.042,0
0.496,0.914,-1.204,0
0.419,0.918,-1.164,0
0.532,0.877,-0.993,0
0.583,0.957,-0.789,0
0.57,0.934,-0.469,0
0.508,0.843,-0.252,0
0.321,0.741,-0.002,0
0.22,0.677,0.257,0
0.206,0.607,0.549,0
0.131,0.64,0.741,1
0.134,0.646,0.739,1
0.218,0.638,0.844,1
0.357,0.711,0.836,1
0.519,0.766,0.789,1
0.688,0.782,0.695,1
0.664,0.663,0.731,1
0.556,0.62,0.82,1
0.361,0.729,0.785,1
0.129,0.787,0.425,1
0.155,0.671,0.172,1
0.44,0.715,-0.035,1
0.769,0.927,0.141,1
1.208,0.915,0.477,1
1.332,0.73,0.841,1
1.171,0.315,1.583,1
0.796,0.017,2.287,1
0.237,-0.388,2.979,1
-0.14,-0.673,3.106,1
-0.364,-1.02,3.16,1
-0.185,-1.069,3.102,1
0.117,-0.94,2.765,0
0.295,-0.874,2.176,0
0.263,-0.987,1.168,0
0.118,-1.1,0.338,0
-0.152,-1.255,-0.362,0
-0.223,-1.302,-0.603,0
-0.006,-1.28,-0.753,0
0.241,-1.177,-0.816,0
0.667,-0.925,-0.946,0
0.784,-0.919,-0.944,0
0.73,-0.993,-0.805,0
0.553,-1.054,-0.642,0
0.417,-1.123,-0.413,0
0.432,-1.089,-0.308,0
0.482,-0.962,-0.261,0
0.536,-0.859,-0.292,0
0.613,-0.773,-0.417,0
0.673,-0.607,-0.522,0
0.717,-0.425,-0.682,0
0.719,-0.344,-0.879,0
0.669,-0.226,-1.191,0
0.62,-0.12,-1.385,0
0.634,-0.115,-1.386,0
0.543,-0.009,-1.407,0
0.502,0.047,-1.138,0
0.486,0.092,-0.972,0
0.533,0.141,-0.782,0
0.561,0.24,-0.723,0
0.634,0.299,-0.627,0
0.634,0.35,-0.572,0
0.625,0.419,-0.569,0
0.605,0.471,-0.539,0
0.513,0.478,-0.44,0
0.417,0.466,-0.413,0
0.33,0.468,-0.486,0
0.353,0.488,-0.549,0
0.408,0.55,-0.596,0
0.524,0.641,-0.582,0
0.67,0.754,-0.482,0
0.768,0.79,-0.44,0
0.829,0.833,-0.228,0
0.771,0.804,-0.063,0
0.667,0.772,0.022,0
0.644,0.759,0.046,0
0.647,0.779,0.162,0
0.706,0.856,0.189,0
0.794,0.962,0.023,0
0.813,0.989,-0.114,0
0.776,0.951,-0.219,0
0.779,1,-0.223,1
0.586,0.944,-0.067,1
0.471,0.849,0.126,1
0.453,0.77,0.177,1
0.42,0.779,0.237,1
0.475,0.75,0.238,1
0.525,0.69,0.154,1
0.55,0.611,0.142,1
0.606,0.544,0.26,1
0.674,0.526,0.404,1
0.604,0.475,0.551,1
0.316,0.657,0.54,1
0.039,0.759,0.289,1
-0.232,0.824,-0.501,1
-0.177,0.899,-0.979,1
-0.089,1.158,-1.535,1
-0.033,1.173,-1.796,1
0.185,0.759,-1.547,1
0.312,0.519,-0.805,1
0.349,0.384,0.845,1
0.294,0.236,2.073,1
0.252,0.286,2.055,0
0.182,-0.019,3.085,0
0.134,-0.302,3.121,0
0.172,-0.413,3.107,0
0.261,-0.491,3.154,0
0.256,-0.579,3.223,0
-0.035,-0.745,3.02,0
-0.284,-0.845,2.41,0
-0.529,-0.926,1.259,0
-0.478,-0.925,0.502,0
-0.347,-0.748,-0.635,0
-0.111,-0.649,-1.15,0
0.056,-0.639,-1.599,0
0.032,-0.652,-1.817,0
0.022,-0.722,-1.802,0
